采集时间,采集地点,Temperature,Rainfall,Soil_pH,Soil_Moisture,Fertilizer_Used,Yield
2013-07-15,湖南省长沙市长沙县春华镇,27.483570765056164,825.4348593931876,7.910213804814408,49.65865089199399,109.62568007943592,3.0421
2013-10-15,湖南省长沙市长沙县春华镇,22.688623556474788,1183.4988410956148,8.511593690347514,70.66106324517307,127.13173819959488,2.725
2013-07-15,湖南省长沙市长沙县春华镇,25.48060388470492,693.4854066883545,6.266487542415102,87.39375557106763,209.31652760995047,3.8782
2014-07-15,湖南省长沙市长沙县春华镇,22.41977635891313,906.4904764272997,6.109268085591811,81.14092833213374,83.71351958150899,4.1994
2014-10-15,湖南省长沙市长沙县春华镇,29.691419029879988,1282.5167934071578,8.248575914058534,57.62761268428601,177.5033405974241,3.4036
2014-07-15,湖南省长沙市长沙县春华镇,25.148780697478728,654.0929319350562,8.511593690347514,63.50146887763104,30.0,2.7371
2015-07-15,湖南省长沙市长沙县春华镇,25.141591880652307,847.2343774882299,8.5,58.03685206365374,397.1155248141098,2.9141
2015-10-15,湖南省长沙市长沙县春华镇,22.82751886283842,403.7528678363128,6.338909622738327,58.213776257236816,186.22279443265177,3.6804
2015-07-15,湖南省长沙市长沙县春华镇,10.60633717147952,995.71661487307,6.678174084769434,71.7871162551244,245.3713821662317,2.4319
2016-07-15,湖南省长沙市长沙县春华镇,30.26576426666452,1117.6231489744428,7.814814644844281,67.88652943452074,151.40311287951047,3.1627
2016-10-15,湖南省长沙市长沙县春华镇,19.594717297958688,668.71752297291,5.035303126306056,98.8469314492641,210.4382614483957,3.1082
2016-07-15,湖南省长沙市长沙县春华镇,18.616257120898453,801.7500639996301,6.440801425591397,50.925792013371336,193.9290735632841,3.8285
2017-07-15,湖南省长沙市长沙县春华镇,26.357894185976868,996.3477470213612,5.053067930197142,67.90854434811519,83.92281060961032,3.5891
2017-10-15,湖南省长沙市长沙县春华镇,26.03843843581556,781.414176170571,8.448244325134777,58.87972091285182,112.50992289393103,2.9784
2017-07-15,湖南省长沙市长沙县春华镇,27.148091095662927,1010.554785647628,5.9024742983655445,49.7682426992756,96.8571720120186,0.748
2018-07-15,湖南省长沙市长沙县春华镇,24.802224230716725,860.6163848076939,6.492876387791664,20.0,98.13439767985682,3.385
2018-10-15,湖南省长沙市长沙县春华镇,23.4541393826568,1470.885095238796,5.125628595704752,64.1732559038166,234.0900207931295,3.5614
2018-07-15,湖南省长沙市长沙县春华镇,26.11066885816857,746.2550727009715,6.781918788126312,65.39199233155257,77.46846812275669,3.6759
2019-07-15,湖南省长沙市长沙县春华镇,36.12375057892537,419.5957377849871,6.327263174832996,48.951399202703264,116.04377214645568,2.6703
2019-10-15,湖南省长沙市长沙县春华镇,36.49449061809625,1043.0241955727556,6.6976493028995066,66.64883533269685,269.0222481287251,3.1633
2019-07-15,湖南省长沙市长沙县春华镇,32.0467372009279,1021.547249781902,5.34158682742721,61.45016232451434,70.5092531440356,3.1759
2020-07-15,湖南省长沙市长沙县春华镇,22.41355774949814,861.9939314295017,6.176520578123373,29.98048851189544,264.7612880614077,3.6014
2020-10-15,湖南省长沙市长沙县春华镇,30.32740187532676,1026.777557493138,7.187564351994137,20.0,148.05113784947432,3.151
